FirstName,LastName,Phone,m32qvuzzbmz5t@hotmail.gov,Password,ConfirmPassword,Expected,ouptut,reason
Abdo,Mohamed,1110615720,,Ab123456,Ab123456,NotSignUp,Passed,Fill out the missing cell
Abdo,Mohamed,1110615720,ikr9i3dyo6@comcast.gov,Ab123456,Ab123456,SignUp,Passed,SignedUp
abdo,Mohamed,1110615721,7u@gmail.com,Ab123457,Ab123457,NotSignUp,Failed,SignedUp
Abdo1,Mohamed,1110615722,mx0o@verizon.gov,Ab123458,Ab123458,NotSignUp,Failed,SignedUp
12121,Mohamed,1110615723,bmh6xao@frontier.com,Ab123459,Ab123459,NotSignUp,Failed,SignedUp
ads1234,Mohamed,1110615724,3cyl8t91@hotmail.net,Ab123460,Ab123460,NotSignUp,Failed,SignedUp
Abdo@!,Mohamed,1110615727,jrwl8ibr4i6ecjy@charter.net,Ab123463,Ab123463,NotSignUp,Failed,SignedUp
Abdo ,Abdo ,1110615728,yoh1a7jvn322onl94our@hotmail.net,Ab123464,Ab123464,NotSignUp,Failed,SignedUp
*,Abdo,1234,ey@yahoo.gov,Ab123458,Ab123458,NotSignUp,Failed,SignedUp
Mohamed,abdo,1546789,48g7zy84x7l6@outlook.gov,Ab123459,Ab123459,NotSignUp,Failed,SignedUp
Mohamed,Abdo1,1546790,f@charter.gov,Ab123460,Ab123460,NotSignUp,Failed,SignedUp
Mohamed,12121,1546791,r47xizl1rsbms@outlook.net,Ab123461,Ab123461,NotSignUp,Failed,SignedUp
Mohamed,ads1234,1546792,i@frontier.com,Ab123462,Ab123462,NotSignUp,Failed,SignedUp
Mohamed,Abdo@!,1546795,gfpy9aem8vdp7xo4@gmail.org,Ab123458,Ab123458,NotSignUp,Failed,SignedUp
Mohamed,Abdo ,1546796,4exl7v5x@hotmail.net,Ab123459,Ab123459,NotSignUp,Failed,SignedUp
Mohamed,*,1546797,v8o9v60abz9yiopo0@outlook.gov,Ab123460,Ab123460,NotSignUp,Failed,SignedUp
Mohamed,Abdo,1546798,swj3s782j4z51@frontier.net,Ab123461,Ab123461,NotSignUp,Failed,SignedUp
Mohamed,abdo,1546799,xn4hw3pfuyda@gmail.com,Ab123462,Ab123462,NotSignUp,Failed,SignedUp
Mohamed,Abdo1,1546800,8o7ah4t9lrcckltfa@charter.org,Ab123463,Ab123463,NotSignUp,Failed,SignedUp
Mohamed,12121,1546801,o6bl0byid6@comcast.com,Ab123464,Ab123464,NotSignUp,Failed,SignedUp
Abdo,Mohamed,1546802,y72ohyd9gmail.org,Ab123465,Ab123465,NotSignUp,Passed,The Email field must contain a valid email address.
Abdo,Mohamed,1546803,nnim8kxrsa113sa53b@comcast,Ab123466,Ab123466,NotSignUp,Passed,The Email field must contain a valid email address.
Abdo,Mohamed,1546804,4anmlkuf1dne45,Ab123467,Ab123467,NotSignUp,Passed,The Email field must contain a valid email address.
Abdo,Mohamed,1546805,pxp9pyf@verizon.gov,Ab123468,Ab123468,SignUp,Passed,SignedUp
Abdo,Mohamed,1121321321,ppo2jte5xzxzysr3@outlook.gov,Ab123456,Ab123456,SignUp,Passed,SignedUp
Abdo,Mohamed,1,69mku83481sml@charter.gov,Ab123457,Ab123457,NotSignUp,Failed,SignedUp
Abdo,Mohamed,12,fm6amoncf@yahoo.gov,Ab123458,Ab123458,NotSignUp,Failed,SignedUp
Abdo,Mohamed,asdd,7xhpbfptcc75t70bnh7h@frontier.net,Ab123459,Ab123459,NotSignUp,Passed,SignedUp
Abdo,Mohamed,a123,00t40sl@verizon.net,Ab123460,Ab123460,NotSignUp,Failed,SignedUp
Abdo,Mohamed,1121321321,2jngs5ndsuik2md3hqy@hotmail.org,123456,123456,NotSignUp,Failed,SignedUp
Abdo,Mohamed,1121321321,8g@outlook.com,1,1,NotSignUp,Passed,The Password field must be at least 6 characters in length.
Abdo,Mohamed,1121321321,swte3pm2@charter.gov,a123,a123,NotSignUp,Passed,The Password field must be at least 6 characters in length.
Abdo,Mohamed,1121321321,1pxyjxfyifnq5nt@yahoo.net,a123456789,a123456789,NotSignUp,Failed,SignedUp
