FirstName,LastName,Phone,email,Password,ConfirmPassword,Expected,Output
Abdo,Mohamed,1110615720,abdo@logic.com,Ab123456,Ab123456,SignUp,
abdo,Mohamed,1110615721,abdo1@logic.com,Ab123457,Ab123457,NotSignUp,
Abdo1,Mohamed,1110615722,abdo2@logic.com,Ab123458,Ab123458,NotSignUp,
12121,Mohamed,1110615723,abdo3@logic.com,Ab123459,Ab123459,NotSignUp,
ads1234,Mohamed,1110615724,abdo4@logic.com,Ab123460,Ab123460,NotSignUp,
حيمي,Mohamed,1110615725,abdo5@logic.com,Ab123461,Ab123461,NotSignUp,
おはようございます,Mohamed,1110615726,abdo6@logic.com,Ab123462,Ab123462,NotSignUp,
Abdo@!,Mohamed,1110615727,abdo7@logic.com,Ab123463,Ab123463,NotSignUp,
Abdo ,Abdo ,1110615728,abdo8@logic.com,Ab123464,Ab123464,NotSignUp,
*,Abdo,1234,,Ab123458,Ab123458,NotSignUp,
,,,,,,,
Mohamed,abdo,1546789,,Ab123459,Ab123459,NotSignUp,
Mohamed,Abdo1,1546790,,Ab123460,Ab123460,NotSignUp,
Mohamed,12121,1546791,,Ab123461,Ab123461,NotSignUp,
Mohamed,ads1234,1546792,,Ab123462,Ab123462,NotSignUp,
Mohamed,حيمي,1546793,,Ab123463,Ab123463,NotSignUp,
Mohamed,おはようございます,1546794,,Ab123464,Ab123464,NotSignUp,
Mohamed,Abdo@!,1546795,,Ab123458,Ab123458,NotSignUp,
Mohamed,Abdo ,1546796,,Ab123459,Ab123459,NotSignUp,
Mohamed,*,1546797,,Ab123460,Ab123460,NotSignUp,
Mohamed,Abdo,1546798,,Ab123461,Ab123461,NotSignUp,
Mohamed,abdo,1546799,,Ab123462,Ab123462,NotSignUp,
Mohamed,Abdo1,1546800,,Ab123463,Ab123463,NotSignUp,
Mohamed,12121,1546801,,Ab123464,Ab123464,NotSignUp,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Abdo,Mohamed,1121321321,,Ab123456,Ab123456,SignUp,
Abdo,Mohamed,1,,Ab123457,Ab123457,NotSignUp,
Abdo,Mohamed,12,,Ab123458,Ab123458,NotSignUp,
Abdo,Mohamed,asdd,,Ab123459,Ab123459,NotSignUp,
Abdo,Mohamed,a123,,Ab123460,Ab123460,NotSignUp,
,,,,,,,
Abdo,Mohamed,1121321321,,123456,123456,NotSignUp,
Abdo,Mohamed,1121321321,,1,1,NotSignUp,
Abdo,Mohamed,1121321321,,a123,a123,NotSignUp,
Abdo,Mohamed,1121321321,,a123456789,a123456789,NotSignUp,
